topicId,words..
1,sensex stocks nifty shares rs global trade markets buy rupee
2,rs year cr record gold bse crore fund inflation hit
3,money black govt bjp india bank cm rs names banks
4,india profit ebola bjp maharashtra net pakistan polls october rs
5,modi pm narendra india hong kong chief http obama campaign
6,rbi http usat oil cut ly govt modi rate china
7,india delhi police uber oil report google russia case pm
8,india make coal indian day pm modi obama power deal
9,govt low top time court banks high investors bank world
10,china bjp india alibaba iphone modi xi sena chinese floods
