topicId,rank,docId,filename
1,1,10,/home/nitin/Desktop/News/test7_headlines/2014-10-10.txt
1,2,74,/home/nitin/Desktop/News/test7_headlines/2014-12-11.txt
1,3,67,/home/nitin/Desktop/News/test7_headlines/2014-10-09.txt
1,4,37,/home/nitin/Desktop/News/test7_headlines/2014-09-08.txt
1,5,52,/home/nitin/Desktop/News/test7_headlines/2014-09-12.txt
1,6,27,/home/nitin/Desktop/News/test7_headlines/2014-12-12.txt
1,7,56,/home/nitin/Desktop/News/test7_headlines/2014-10-28.txt
1,8,97,/home/nitin/Desktop/News/test7_headlines/2014-09-16.txt
1,9,60,/home/nitin/Desktop/News/test7_headlines/2014-12-02.txt
1,10,68,/home/nitin/Desktop/News/test7_headlines/2014-12-09.txt
1,11,11,/home/nitin/Desktop/News/test7_headlines/2014-09-05.txt
1,12,83,/home/nitin/Desktop/News/test7_headlines/2014-10-27.txt
1,13,81,/home/nitin/Desktop/News/test7_headlines/2014-09-18.txt
1,14,73,/home/nitin/Desktop/News/test7_headlines/2014-09-23.txt
1,15,34,/home/nitin/Desktop/News/test7_headlines/2014-12-04.txt
1,16,38,/home/nitin/Desktop/News/test7_headlines/2014-09-09.txt
1,17,88,/home/nitin/Desktop/News/test7_headlines/2014-09-15.txt
1,18,43,/home/nitin/Desktop/News/test7_headlines/2014-10-08.txt
1,19,26,/home/nitin/Desktop/News/test7_headlines/2014-12-05.txt
1,20,8,/home/nitin/Desktop/News/test7_headlines/2014-12-01.txt
1,21,62,/home/nitin/Desktop/News/test7_headlines/2014-09-19.txt
1,22,14,/home/nitin/Desktop/News/test7_headlines/2014-09-24.txt
1,23,69,/home/nitin/Desktop/News/test7_headlines/2014-09-22.txt
1,24,57,/home/nitin/Desktop/News/test7_headlines/2014-12-08.txt
1,25,30,/home/nitin/Desktop/News/test7_headlines/2014-09-30.txt
1,26,71,/home/nitin/Desktop/News/test7_headlines/2014-12-10.txt
1,27,66,/home/nitin/Desktop/News/test7_headlines/2014-12-03.txt
1,28,76,/home/nitin/Desktop/News/test7_headlines/2014-09-25.txt
1,29,96,/home/nitin/Desktop/News/test7_headlines/2014-11-11.txt
1,30,39,/home/nitin/Desktop/News/test7_headlines/2014-10-07.txt
1,31,5,/home/nitin/Desktop/News/test7_headlines/2014-11-05.txt
1,32,70,/home/nitin/Desktop/News/test7_headlines/2014-10-01.txt
1,33,22,/home/nitin/Desktop/News/test7_headlines/2014-09-17.txt
1,34,32,/home/nitin/Desktop/News/test7_headlines/2014-11-03.txt
1,35,1,/home/nitin/Desktop/News/test7_headlines/2014-09-29.txt
1,36,59,/home/nitin/Desktop/News/test7_headlines/2014-10-29.txt
1,37,40,/home/nitin/Desktop/News/test7_headlines/2014-11-28.txt
1,38,89,/home/nitin/Desktop/News/test7_headlines/2014-11-12.txt
1,39,3,/home/nitin/Desktop/News/test7_headlines/2014-10-31.txt
1,40,7,/home/nitin/Desktop/News/test7_headlines/2014-11-04.txt
1,41,21,/home/nitin/Desktop/News/test7_headlines/2014-10-13.txt
1,42,16,/home/nitin/Desktop/News/test7_headlines/2014-11-13.txt
1,43,45,/home/nitin/Desktop/News/test7_headlines/2014-10-02.txt
1,44,2,/home/nitin/Desktop/News/test7_headlines/2014-10-06.txt
1,45,49,/home/nitin/Desktop/News/test7_headlines/2014-11-20.txt
1,46,63,/home/nitin/Desktop/News/test7_headlines/2014-09-06.txt
1,47,12,/home/nitin/Desktop/News/test7_headlines/2014-11-06.txt
1,48,65,/home/nitin/Desktop/News/test7_headlines/2014-10-30.txt
1,49,91,/home/nitin/Desktop/News/test7_headlines/2014-11-14.txt
1,50,86,/home/nitin/Desktop/News/test7_headlines/2014-09-02.txt
1,51,15,/home/nitin/Desktop/News/test7_headlines/2014-11-19.txt
1,52,58,/home/nitin/Desktop/News/test7_headlines/2014-10-03.txt
1,53,31,/home/nitin/Desktop/News/test7_headlines/2014-11-07.txt
1,54,25,/home/nitin/Desktop/News/test7_headlines/2014-10-14.txt
1,55,75,/home/nitin/Desktop/News/test7_headlines/2014-11-10.txt
1,56,54,/home/nitin/Desktop/News/test7_headlines/2014-09-13.txt
1,57,95,/home/nitin/Desktop/News/test7_headlines/2014-09-20.txt
1,58,29,/home/nitin/Desktop/News/test7_headlines/2014-12-06.txt
1,59,72,/home/nitin/Desktop/News/test7_headlines/2014-10-15.txt
1,60,4,/home/nitin/Desktop/News/test7_headlines/2014-11-21.txt
1,61,17,/home/nitin/Desktop/News/test7_headlines/2014-10-20.txt
1,62,42,/home/nitin/Desktop/News/test7_headlines/2014-12-13.txt
1,63,77,/home/nitin/Desktop/News/test7_headlines/2014-09-11.txt
1,64,23,/home/nitin/Desktop/News/test7_headlines/2014-10-11.txt
1,65,47,/home/nitin/Desktop/News/test7_headlines/2014-11-01.txt
1,66,85,/home/nitin/Desktop/News/test7_headlines/2014-09-14.txt
1,67,78,/home/nitin/Desktop/News/test7_headlines/2014-10-25.txt
1,68,79,/home/nitin/Desktop/News/test7_headlines/2014-12-15.txt
1,69,53,/home/nitin/Desktop/News/test7_headlines/2014-09-21.txt
1,70,90,/home/nitin/Desktop/News/test7_headlines/2014-12-14.txt
1,71,41,/home/nitin/Desktop/News/test7_headlines/2014-10-05.txt
1,72,94,/home/nitin/Desktop/News/test7_headlines/2014-10-04.txt
1,73,48,/home/nitin/Desktop/News/test7_headlines/2014-10-26.txt
1,74,93,/home/nitin/Desktop/News/test7_headlines/2014-12-07.txt
1,75,28,/home/nitin/Desktop/News/test7_headlines/2014-11-30.txt
1,76,51,/home/nitin/Desktop/News/test7_headlines/2014-11-29.txt
1,77,61,/home/nitin/Desktop/News/test7_headlines/2014-10-12.txt
1,78,80,/home/nitin/Desktop/News/test7_headlines/2014-09-28.txt
1,79,92,/home/nitin/Desktop/News/test7_headlines/2014-11-15.txt
1,80,64,/home/nitin/Desktop/News/test7_headlines/2014-11-02.txt
1,81,82,/home/nitin/Desktop/News/test7_headlines/2014-10-24.txt
1,82,50,/home/nitin/Desktop/News/test7_headlines/2014-09-26.txt
1,83,33,/home/nitin/Desktop/News/test7_headlines/2014-10-18.txt
1,84,6,/home/nitin/Desktop/News/test7_headlines/2014-10-16.txt
1,85,55,/home/nitin/Desktop/News/test7_headlines/2014-11-17.txt
1,86,87,/home/nitin/Desktop/News/test7_headlines/2014-11-16.txt
1,87,46,/home/nitin/Desktop/News/test7_headlines/2014-11-22.txt
1,88,19,/home/nitin/Desktop/News/test7_headlines/2014-09-27.txt
1,89,36,/home/nitin/Desktop/News/test7_headlines/2014-10-19.txt
1,90,84,/home/nitin/Desktop/News/test7_headlines/2014-11-09.txt
1,91,18,/home/nitin/Desktop/News/test7_headlines/2014-10-21.txt
1,92,13,/home/nitin/Desktop/News/test7_headlines/2014-09-01.txt
1,93,20,/home/nitin/Desktop/News/test7_headlines/2014-09-04.txt
1,94,44,/home/nitin/Desktop/News/test7_headlines/2014-09-03.txt
1,95,35,/home/nitin/Desktop/News/test7_headlines/2014-10-22.txt
1,96,24,/home/nitin/Desktop/News/test7_headlines/2014-10-23.txt
1,97,9,/home/nitin/Desktop/News/test7_headlines/2014-11-18.txt
2,1,97,/home/nitin/Desktop/News/test7_headlines/2014-09-16.txt
2,2,52,/home/nitin/Desktop/News/test7_headlines/2014-09-12.txt
2,3,96,/home/nitin/Desktop/News/test7_headlines/2014-11-11.txt
2,4,37,/home/nitin/Desktop/News/test7_headlines/2014-09-08.txt
2,5,88,/home/nitin/Desktop/News/test7_headlines/2014-09-15.txt
2,6,60,/home/nitin/Desktop/News/test7_headlines/2014-12-02.txt
2,7,11,/home/nitin/Desktop/News/test7_headlines/2014-09-05.txt
2,8,8,/home/nitin/Desktop/News/test7_headlines/2014-12-01.txt
2,9,89,/home/nitin/Desktop/News/test7_headlines/2014-11-12.txt
2,10,34,/home/nitin/Desktop/News/test7_headlines/2014-12-04.txt
2,11,38,/home/nitin/Desktop/News/test7_headlines/2014-09-09.txt
2,12,5,/home/nitin/Desktop/News/test7_headlines/2014-11-05.txt
2,13,16,/home/nitin/Desktop/News/test7_headlines/2014-11-13.txt
2,14,57,/home/nitin/Desktop/News/test7_headlines/2014-12-08.txt
2,15,81,/home/nitin/Desktop/News/test7_headlines/2014-09-18.txt
2,16,63,/home/nitin/Desktop/News/test7_headlines/2014-09-06.txt
2,17,91,/home/nitin/Desktop/News/test7_headlines/2014-11-14.txt
2,18,66,/home/nitin/Desktop/News/test7_headlines/2014-12-03.txt
2,19,69,/home/nitin/Desktop/News/test7_headlines/2014-09-22.txt
2,20,30,/home/nitin/Desktop/News/test7_headlines/2014-09-30.txt
2,21,74,/home/nitin/Desktop/News/test7_headlines/2014-12-11.txt
2,22,7,/home/nitin/Desktop/News/test7_headlines/2014-11-04.txt
2,23,54,/home/nitin/Desktop/News/test7_headlines/2014-09-13.txt
2,24,3,/home/nitin/Desktop/News/test7_headlines/2014-10-31.txt
2,25,68,/home/nitin/Desktop/News/test7_headlines/2014-12-09.txt
