Date,Close
1,27499.42
2,27403.54
3,27208.61
4,27701.79
5,27371.84
6,27126.57
7,26710.13
8,26781.44
9,27319.56
10,27350.68
11,27602.01
12,27831.1
13,27797.01
14,28119.4
15,28458.1
16,28562.82
17,28442.71
18,28444.01
19,28559.62
20,28693.99
21,28438.91
22,28386.19
23,28338.05
24,28499.54
25,28334.63
26,28067.56
27,28032.85
28,28163.29
29,28177.88
30,28046.66
31,27940.64
32,28008.9
33,27910.06
34,27874.73
35,27868.63
36,27915.88
37,27860.38
38,27865.83
39,27346.33
40,27098.17
41,26880.82
42,26752.9
43,26851.05
44,26787.23
45,26575.65
46,26429.85
47,26108.53
48,25999.34
49,26349.33
50,26384.07
51,26297.38
52,26637.28
53,26246.79
54,26271.97
55,26567.99
56,26630.51
57,26597.11
58,26626.32
59,26468.36
60,26744.69
61,26775.69
62,27206.74
63,27090.42
64,27112.21
65,26631.29
66,26492.51
67,26816.56
68,27061.04
69,26995.87
70,27057.41
71,27265.32
72,27319.85
73,27026.7
74,27085.93
75,27139.94
76,27019.39
77,26867.55
