Date,Close
1,27499.42
2,27403.54
3,27208.61
4,27701.79
5,27371.84
6,27126.57
7,26710.13
8,26781.44
9,27319.56
10,27350.68
11,27602.01
12,27831.1
13,27797.01
14,28119.4
15,28458.1
16,28562.82
17,28442.71
18,28444.01
19,28559.62
20,28693.99
21,28438.91
22,28386.19
23,28338.05
24,28499.54
25,28334.63
26,28067.56
27,28032.85
28,28163.29
29,28177.88
30,28046.66
31,27940.64
32,28008.9
33,27910.06
34,27874.73
35,27868.63
36,27915.88
37,27860.38
38,27865.83
39,27346.33
40,27098.17
41,26880.82
42,26752.9
43,26851.05
44,26787.23
45,26575.65
46,26429.85
47,26108.53
48,25999.34
49,26349.33
50,26384.07
51,26297.38
52,26637.28
53,26246.79
54,26271.97
55,26567.99
56,26630.51
57,26597.11
58,26626.32
59,26468.36
60,26744.69
61,26775.69
62,27206.74
63,27090.42
64,27112.21
65,26631.29
66,26492.51
67,26816.56
68,27061.04
69,26995.87
70,27057.41
71,27265.32
72,27319.85
73,27026.7
74,27085.93
75,27139.94
76,27019.39
77,26867.55
78,26638.11
79,26560.15
80,26442.81
81,26437.02
82,26419.55
83,26360.11
84,26314.29
85,26420.67
86,26390.96
87,26103.23
88,25918.95
89,25880.77
90,25519.24
91,25329.14
92,25589.01
93,25665.27
94,25908.01
95,25723.16
96,25480.84
97,25894.97
98,26087.42
99,25991.23
100,26126.75
101,26271.85
102,26147.33
103,26025.8
104,25715.17
105,25641.56
106,25561.16
107,25549.72
108,25228.65
109,25006.98
110,25024.35
111,25372.75
112,25444.81
113,25582.11
114,26100.08
115,25962.06
116,25823.75
117,25841.21
118,25516.35
119,25413.78
120,25099.92
121,25062.67
122,25313.74
123,25368.9
124,25031.32
125,25105.51
126,25201.8
127,25246.25
128,25521.19
129,25190.48
130,25228.17
131,25576.21
132,25473.89
133,25583.69
134,25580.21
135,25396.46
136,25019.51
137,24805.83
138,24858.59
139,24684.85
140,24217.34
141,24234.15
142,24556.09
143,24549.51
144,24716.88
145,24693.35
146,24374.4
147,24298.02
148,24376.88
149,24363.05
150,24121.74
151,23905.6
152,23815.12
153,23871.23
154,23551
155,22994.23
156,22344.04
157,22323.9
158,22508.42
159,22445.12
160,22403.89
161,22417.8
162,22466.19
163,22631.61
164,22688.07
165,22876.54
166,22758.37
167,22764.83
168,22628.84
169,22277.23
170,22484.93
171,22628.96
172,22715.33
173,22702.34
174,22343.45
175,22359.5
176,22509.07
177,22551.49
178,22446.44
179,22386.27
180,22339.97
181,22214.37
182,22095.3
183,22055.21
184,22055.48
185,21753.75
186,21740.09
187,21832.86
188,21832.61
189,21809.8
190,21774.61
191,21856.22
192,21826.42
193,21934.83
194,21919.79
195,21513.87
196,21276.86
197,21209.73
198,20946.65
199,21120.12
200,20986.99
201,20852.47
202,20811.44
203,20700.75
204,20536.64
205,20722.97
206,20634.21
207,20464.06
208,20366.82
209,20193.35
210,20448.49
211,20363.37
212,20334.27
213,20376.56
214,20310.74
215,20261.03
216,20211.93
217,20209.26
218,20513.85
219,20498.25
220,20647.3
221,20683.51
222,20707.45
223,21133.56
224,21373.66
225,21337.67
226,21251.12
227,21205.05
228,21063.62
229,21265.18
230,21289.49
231,21032.88
232,21134.21
233,20758.49
234,20713.37
235,20729.38
236,20693.24
237,20787.3
238,20851.33
239,20888.33
240,21140.48
241,21170.68
242,21143.01
243,21193.58
244,21074.59
245,21032.71
246,21101.03
247,21079.72
248,20708.62
249,20859.86
250,20612.14
251,20659.52
252,20715.58
253,20925.61
254,21171.41
255,21255.26
256,21326.42
257,20996.53
258,20957.81
259,20708.71
260,20854.92
261,20898.01
262,20791.93
263,20534.91
264,20420.26
265,20425.02
266,20605.08
267,20217.39
268,20229.05
269,20635.13
270,20890.82
271,20850.74
272,20399.42
273,20194.4
274,20281.91
275,20490.96
276,20666.15
277,20822.77
278,20894.94
279,20974.79
280,21196.81
281,21164.52
282,21033.97
283,20929.01
284,20570.28
285,20683.52
286,20725.43
287,20767.88
288,20864.97
289,20893.89
290,20882.89
291,20415.51
292,20547.62
293,20607.54
294,20528.59
295,20272.91
296,20249.26
297,19983.61
298,19895.1
299,19915.95
300,19902.07
301,19517.15
302,19379.77
303,19727.27
304,19893.85
305,19856.24
306,19920.21
307,19900.96
308,20263.71
309,20646.64
310,19962.16
311,19804.03
312,19742.47
313,19732.76
314,19781.88
315,19997.45
316,19997.1
317,19270.06
318,18979.76
319,18567.55
320,18234.66
321,18886.13
322,18619.72
323,18401.04
324,17996.15
325,17968.08
326,18558.13
327,18519.44
328,18312.94
329,17905.91
330,18246.04
331,18307.52
332,18598.18
333,19367.59
334,19229.84
335,18946.98
336,18789.34
337,18664.88
338,18733.04
339,19182.26
340,19164.02
341,19317.19
342,19345.7
343,19348.34
344,19593.28
345,19748.19
346,19804.76
347,20090.68
348,20302.13
349,20159.12
350,20149.85
351,20128.41
352,19948.73
353,19851.23
354,20034.48
355,19958.47
356,19676.06
357,19294.12
358,19439.48
359,19324.77
360,19495.82
361,19410.84
362,19177.76
363,19463.82
364,19577.39
365,19395.81
366,18875.95
367,18552.12
368,18629.15
369,18540.89
370,18774.24
371,18719.29
372,19245.7
373,19223.28
374,19325.87
375,19177.93
376,18827.16
377,19041.13
378,19143
379,19441.07
380,19429.23
381,19519.49
382,19568.22
383,19545.78
384,19610.48
385,19760.3
386,20215.4
387,20147.64
388,20160.82
389,20030.77
390,19704.33
391,19674.33
392,20062.24
393,20111.61
394,20223.98
395,20286.12
396,20247.33
397,20212.96
398,19722.29
399,19691.67
400,20082.62
401,19939.04
402,19990.18
403,19888.95
404,19673.64
405,19575.64
406,19735.77
407,19504.18
408,19387.5
409,19286.72
410,19406.85
411,19179.36
412,19169.83
413,19016.46
414,18731.16
415,18744.93
416,18357.8
417,18242.56
418,18542.2
419,18414.45
420,18226.48
421,18437.78
422,18450.23
423,18509.7
424,18801.64
425,19040.95
426,18864.75
427,18835.77
428,18704.53
429,18681.42
430,18735.6
431,18792.87
432,18884.19
433,19008.1
434,19293.2
435,19427.56
436,19570.44
437,19362.55
438,19564.92
439,19646.21
440,19683.23
441,19413.54
442,19252.61
443,19143.17
444,18877.96
445,18918.52
446,18861.54
447,19152.41
448,19015.14
449,19331.69
450,19317.01
451,19325.36
452,19642.75
453,19635.72
454,19501.08
455,19468.15
456,19497.18
457,19608.08
458,19561.04
459,19460.57
460,19484.77
461,19580.32
462,19639.72
463,19659.82
464,19751.19
465,19781.19
466,19894.98
467,20005
468,19990.9
469,20103.35
470,20103.53
471,19923.78
472,20026.61
473,19981.57
474,20101.82
475,20039.04
476,19964.03
477,19817.63
478,19986.82
479,19906.41
480,19663.64
481,19663.55
482,19666.59
483,19742.52
484,19691.42
485,19784.08
486,19764.78
487,19714.24
488,19426.71
489,19444.84
490,19323.8
491,19417.46
492,19255.09
493,19242
494,19453.92
495,19476
496,19364.75
497,19244.42
498,19317.25
499,19229.26
500,19355.26
501,19387.14
502,19409.69
503,19424.1
504,19486.8
505,19391.86
506,19348.12
507,19305.32
508,19339.9
509,19170.91
510,18842.08
511,18537.01
512,18506.57
513,18517.34
514,18460.38
515,18329.32
516,18339
517,18309.37
518,18471.37
519,18618.87
520,18670.34
521,18683.68
522,18846.26
523,18902.41
524,18817.38
525,18762.87
526,18755.45
527,18561.7
528,18505.38
529,18430.85
530,18635.82
531,18625.34
532,18758.63
533,18710.02
534,18793.44
535,18682.31
536,18791.93
537,18610.77
538,18577.7
539,18713.55
540,18675.18
541,18804.75
542,18631.1
543,18793.36
544,18708.98
545,18938.46
546,19058.15
547,18869.69
548,18823.91
549,18762.74
550,18579.5
551,18632.17
552,18694.41
553,18673.34
554,18752.83
555,18349.25
556,18496.01
557,18542.31
558,18464.27
559,18021.16
560,18000.03
561,17852.95
562,17766.78
563,17683.73
564,17346.27
565,17313.34
566,17440.87
567,17384.4
568,17380.75
569,17541.64
570,17490.81
571,17631.71
572,17678.81
573,17783.21
574,17850.22
575,17846.86
576,17885.26
577,17691.08
578,17657.21
579,17728.2
580,17633.45
581,17557.74
582,17560.87
583,17600.56
584,17601.78
585,17412.96
586,17197.93
587,17224.36
588,17257.38
589,17236.18
590,17143.68
591,16839.19
592,16639.82
593,16846.05
594,16918.08
595,16877.35
596,17158.44
597,17278.85
598,17185.01
599,17105.3
600,17103.31
601,17213.7
602,17232.55
603,17489.14
604,17618.35
605,17391.98
606,17521.12
607,17538.67
608,17462.81
609,17425.71
610,17398.98
611,17429.98
612,16990.76
613,16967.76
614,16906.58
615,16882.16
616,16972.51
617,17032.56
618,16896.63
619,16859.8
620,16705.83
621,16949.83
622,16677.88
623,16880.51
624,16862.8
625,16668.01
626,16718.87
627,16649.05
628,16454.3
629,16020.64
630,15988.4
631,15965.16
632,16218.53
633,16312.15
634,16438.58
635,16416.84
636,16217.82
637,16222.3
638,15948.1
639,16026.41
640,16183.26
641,16152.75
642,16070.48
643,16030.09
644,16328.25
645,16215.84
646,16292.98
647,16420.05
648,16479.58
649,16546.18
650,16912.71
651,16831.08
652,17151.19
653,17301.91
654,17318.81
655,17134.25
656,17130.67
657,17151.29
658,17207.29
