Date,Close
31-12-2014,27499.42
30-12-2014,27403.54
24-12-2014,27208.61
22-12-2014,27701.79
19-12-2014,27371.84
18-12-2014,27126.57
17-12-2014,26710.13
16-12-2014,26781.44
15-12-2014,27319.56
12-12-2014,27350.68
11-12-2014,27602.01
10-12-2014,27831.1
09-12-2014,27797.01
08-12-2014,28119.4
05-12-2014,28458.1
04-12-2014,28562.82
03-12-2014,28442.71
02-12-2014,28444.01
01-12-2014,28559.62
28-11-2014,28693.99
27-11-2014,28438.91
26-11-2014,28386.19
25-11-2014,28338.05
24-11-2014,28499.54
21-11-2014,28334.63
20-11-2014,28067.56
19-11-2014,28032.85
18-11-2014,28163.29
17-11-2014,28177.88
14-11-2014,28046.66
13-11-2014,27940.64
12-11-2014,28008.9
11-11-2014,27910.06
10-11-2014,27874.73
07-11-2014,27868.63
05-11-2014,27915.88
03-11-2014,27860.38
31-10-2014,27865.83
30-10-2014,27346.33
29-10-2014,27098.17
28-10-2014,26880.82
27-10-2014,26752.9
23-10-2014,26851.05
22-10-2014,26787.23
21-10-2014,26575.65
20-10-2014,26429.85
17-10-2014,26108.53
16-10-2014,25999.34
14-10-2014,26349.33
13-10-2014,26384.07
10-10-2014,26297.38
09-10-2014,26637.28
08-10-2014,26246.79
07-10-2014,26271.97
01-10-2014,26567.99
30-09-2014,26630.51
29-09-2014,26597.11
26-09-2014,26626.32
25-09-2014,26468.36
24-09-2014,26744.69
23-09-2014,26775.69
22-09-2014,27206.74
19-09-2014,27090.42
18-09-2014,27112.21
17-09-2014,26631.29
16-09-2014,26492.51
15-09-2014,26816.56
12-09-2014,27061.04
11-09-2014,26995.87
10-09-2014,27057.41
09-09-2014,27265.32
08-09-2014,27319.85
05-09-2014,27026.7
04-09-2014,27085.93
03-09-2014,27139.94
02-09-2014,27019.39
01-09-2014,26867.55
