topicId,rank,docId,filename
1,1,1,/home/nitin/Desktop/News/test4/2014-09-29.txt
1,2,30,/home/nitin/Desktop/News/test4/2014-09-30.txt
1,3,45,/home/nitin/Desktop/News/test4/2014-10-02.txt
1,4,70,/home/nitin/Desktop/News/test4/2014-10-01.txt
1,5,58,/home/nitin/Desktop/News/test4/2014-10-03.txt
1,6,80,/home/nitin/Desktop/News/test4/2014-09-28.txt
1,7,94,/home/nitin/Desktop/News/test4/2014-10-04.txt
1,8,2,/home/nitin/Desktop/News/test4/2014-10-06.txt
1,9,39,/home/nitin/Desktop/News/test4/2014-10-07.txt
1,10,41,/home/nitin/Desktop/News/test4/2014-10-05.txt
1,11,19,/home/nitin/Desktop/News/test4/2014-09-27.txt
1,12,67,/home/nitin/Desktop/News/test4/2014-10-09.txt
1,13,76,/home/nitin/Desktop/News/test4/2014-09-25.txt
1,14,43,/home/nitin/Desktop/News/test4/2014-10-08.txt
1,15,10,/home/nitin/Desktop/News/test4/2014-10-10.txt
1,16,14,/home/nitin/Desktop/News/test4/2014-09-24.txt
1,17,78,/home/nitin/Desktop/News/test4/2014-10-25.txt
1,18,73,/home/nitin/Desktop/News/test4/2014-09-23.txt
1,19,48,/home/nitin/Desktop/News/test4/2014-10-26.txt
1,20,69,/home/nitin/Desktop/News/test4/2014-09-22.txt
1,21,83,/home/nitin/Desktop/News/test4/2014-10-27.txt
1,22,85,/home/nitin/Desktop/News/test4/2014-09-14.txt
1,23,72,/home/nitin/Desktop/News/test4/2014-10-15.txt
1,24,62,/home/nitin/Desktop/News/test4/2014-09-19.txt
1,25,22,/home/nitin/Desktop/News/test4/2014-09-17.txt
1,26,56,/home/nitin/Desktop/News/test4/2014-10-28.txt
1,27,81,/home/nitin/Desktop/News/test4/2014-09-18.txt
1,28,53,/home/nitin/Desktop/News/test4/2014-09-21.txt
1,29,95,/home/nitin/Desktop/News/test4/2014-09-20.txt
1,30,88,/home/nitin/Desktop/News/test4/2014-09-15.txt
1,31,28,/home/nitin/Desktop/News/test4/2014-11-30.txt
1,32,23,/home/nitin/Desktop/News/test4/2014-10-11.txt
1,33,64,/home/nitin/Desktop/News/test4/2014-11-02.txt
1,34,50,/home/nitin/Desktop/News/test4/2014-09-26.txt
1,35,59,/home/nitin/Desktop/News/test4/2014-10-29.txt
1,36,3,/home/nitin/Desktop/News/test4/2014-10-31.txt
1,37,63,/home/nitin/Desktop/News/test4/2014-09-06.txt
1,38,51,/home/nitin/Desktop/News/test4/2014-11-29.txt
1,39,57,/home/nitin/Desktop/News/test4/2014-12-08.txt
1,40,21,/home/nitin/Desktop/News/test4/2014-10-13.txt
1,41,32,/home/nitin/Desktop/News/test4/2014-11-03.txt
1,42,87,/home/nitin/Desktop/News/test4/2014-11-16.txt
1,43,47,/home/nitin/Desktop/News/test4/2014-11-01.txt
1,44,54,/home/nitin/Desktop/News/test4/2014-09-13.txt
1,45,60,/home/nitin/Desktop/News/test4/2014-12-02.txt
1,46,15,/home/nitin/Desktop/News/test4/2014-11-19.txt
1,47,36,/home/nitin/Desktop/News/test4/2014-10-19.txt
1,48,29,/home/nitin/Desktop/News/test4/2014-12-06.txt
1,49,8,/home/nitin/Desktop/News/test4/2014-12-01.txt
1,50,92,/home/nitin/Desktop/News/test4/2014-11-15.txt
1,51,91,/home/nitin/Desktop/News/test4/2014-11-14.txt
1,52,52,/home/nitin/Desktop/News/test4/2014-09-12.txt
1,53,97,/home/nitin/Desktop/News/test4/2014-09-16.txt
1,54,65,/home/nitin/Desktop/News/test4/2014-10-30.txt
1,55,90,/home/nitin/Desktop/News/test4/2014-12-14.txt
1,56,16,/home/nitin/Desktop/News/test4/2014-11-13.txt
1,57,68,/home/nitin/Desktop/News/test4/2014-12-09.txt
1,58,33,/home/nitin/Desktop/News/test4/2014-10-18.txt
