topicId,rank,docId,filename
1,1,34,/home/nitin/Desktop/News/test5/2014-10-02.txt
1,2,42,/home/nitin/Desktop/News/test5/2014-10-03.txt
1,3,2,/home/nitin/Desktop/News/test5/2014-10-06.txt
1,4,69,/home/nitin/Desktop/News/test5/2014-10-04.txt
1,5,30,/home/nitin/Desktop/News/test5/2014-10-07.txt
1,6,51,/home/nitin/Desktop/News/test5/2014-10-01.txt
1,7,31,/home/nitin/Desktop/News/test5/2014-10-05.txt
1,8,32,/home/nitin/Desktop/News/test5/2014-10-08.txt
1,9,49,/home/nitin/Desktop/News/test5/2014-10-09.txt
1,10,22,/home/nitin/Desktop/News/test5/2014-09-30.txt
1,11,7,/home/nitin/Desktop/News/test5/2014-10-10.txt
1,12,1,/home/nitin/Desktop/News/test5/2014-09-29.txt
1,13,57,/home/nitin/Desktop/News/test5/2014-10-25.txt
1,14,55,/home/nitin/Desktop/News/test5/2014-09-25.txt
1,15,53,/home/nitin/Desktop/News/test5/2014-09-23.txt
1,16,60,/home/nitin/Desktop/News/test5/2014-10-24.txt
1,17,11,/home/nitin/Desktop/News/test5/2014-09-24.txt
1,18,24,/home/nitin/Desktop/News/test5/2014-11-03.txt
1,19,36,/home/nitin/Desktop/News/test5/2014-10-26.txt
1,20,9,/home/nitin/Desktop/News/test5/2014-11-06.txt
1,21,41,/home/nitin/Desktop/News/test5/2014-10-28.txt
1,22,50,/home/nitin/Desktop/News/test5/2014-09-22.txt
1,23,43,/home/nitin/Desktop/News/test5/2014-10-29.txt
1,24,38,/home/nitin/Desktop/News/test5/2014-09-12.txt
1,25,3,/home/nitin/Desktop/News/test5/2014-10-31.txt
1,26,35,/home/nitin/Desktop/News/test5/2014-11-01.txt
1,27,58,/home/nitin/Desktop/News/test5/2014-09-28.txt
1,28,67,/home/nitin/Desktop/News/test5/2014-11-14.txt
1,29,12,/home/nitin/Desktop/News/test5/2014-11-13.txt
1,30,45,/home/nitin/Desktop/News/test5/2014-09-19.txt
1,31,4,/home/nitin/Desktop/News/test5/2014-11-05.txt
1,32,70,/home/nitin/Desktop/News/test5/2014-09-20.txt
1,33,6,/home/nitin/Desktop/News/test5/2014-11-04.txt
1,34,61,/home/nitin/Desktop/News/test5/2014-10-27.txt
1,35,8,/home/nitin/Desktop/News/test5/2014-09-05.txt
1,36,18,/home/nitin/Desktop/News/test5/2014-09-17.txt
1,37,71,/home/nitin/Desktop/News/test5/2014-11-11.txt
1,38,72,/home/nitin/Desktop/News/test5/2014-09-16.txt
1,39,65,/home/nitin/Desktop/News/test5/2014-09-15.txt
1,40,23,/home/nitin/Desktop/News/test5/2014-11-07.txt
1,41,46,/home/nitin/Desktop/News/test5/2014-09-06.txt
1,42,63,/home/nitin/Desktop/News/test5/2014-09-14.txt
1,43,59,/home/nitin/Desktop/News/test5/2014-09-18.txt
1,44,47,/home/nitin/Desktop/News/test5/2014-11-02.txt
1,45,54,/home/nitin/Desktop/News/test5/2014-11-10.txt
1,46,28,/home/nitin/Desktop/News/test5/2014-09-08.txt
1,47,62,/home/nitin/Desktop/News/test5/2014-11-09.txt
1,48,19,/home/nitin/Desktop/News/test5/2014-10-11.txt
1,49,48,/home/nitin/Desktop/News/test5/2014-10-30.txt
1,50,39,/home/nitin/Desktop/News/test5/2014-09-21.txt
1,51,29,/home/nitin/Desktop/News/test5/2014-09-09.txt
1,52,52,/home/nitin/Desktop/News/test5/2014-10-15.txt
1,53,68,/home/nitin/Desktop/News/test5/2014-11-15.txt
1,54,66,/home/nitin/Desktop/News/test5/2014-11-12.txt
